id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths
25,Hotel in New York · 1 bedroom · 1 bed · 1 bath,215565541,LuxUrban,Manhattan,Hell's Kitchen,40.7603457,-73.9877968,Private room,261,1,2,11/22/2023,0.5,35,0,2,Exempt,No rating,1,1,1
26,Townhouse in Queens · 1 bedroom · 2 beds · 1 shared bath,150022684,Hoang,Queens,Woodside,40.74376,-73.90008,Private room,85,30,1,1/3/2020,0.02,1,0,0,No License,No rating,1,2,1
27,Rental unit in New York · 1 bedroom · 1 bed · 1.5 baths,303941435,David,Manhattan,Roosevelt Island,40.76381,-73.94959,Private room,70,30,1,1/20/2020,0.02,1,0,0,No License,No rating,1,1,1.5
28,Rental unit in The Bronx · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,307330962,Juan,Bronx,Concourse Village,40.82859,-73.91957,Private room,60,30,9,1/2/2022,0.18,1,2,0,No License,4.89,1,1,1
29,Rental unit in Brooklyn · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,37072479,Joseph,Brooklyn,Williamsburg,40.71905,-73.95937,Private room,90,30,7,1/2/2019,0.09,3,0,0,No License,4.43,1,1,1
30,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,4068562,Dominique,Manhattan,Harlem,40.82378,-73.9508,Entire home/apt,75,30,2,5/31/2023,0.17,1,0,2,No License,No rating,1,1,1
31,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,6913051,Ivan,Brooklyn,Williamsburg,40.71265,-73.96539,Private room,106,30,8,9/15/2023,0.22,1,15,5,No License,5,1,1,1
32,Rental unit in Brooklyn · 1 bedroom · 1 bed · 2 shared baths,3223938,Eugene,Brooklyn,Flatbush,40.65442,-73.95565,Private room,36,90,1,12/1/2020,0.03,589,0,0,No License,No rating,1,1,2
33,Hotel in Brooklyn · ★4.33 · 1 bedroom · 1 bed · 1 bath,215565541,LuxUrban,Brooklyn,Williamsburg,40.707258,-73.9339721,Private room,220,1,3,12/18/2023,0.94,35,0,3,Exempt,4.33,1,1,1
34,Rental unit in The Bronx · 1 bedroom · 1 bed · 1 shared bath,388818764,Mildred,Bronx,University Heights,40.85615,-73.9152,Private room,55,30,2,3/21/2021,0.06,1,0,0,No License,No rating,1,1,1
35,Home in Queens · ★4.82 · 1 bedroom · 1 bed · 1 private bath,45400201,Shauna,Queens,Flushing,40.75972,-73.81527,Private room,69,30,28,12/22/2023,1.54,6,55,12,No License,4.82,1,1,1
36,Condo in New York · ★4.69 · 1 bedroom · 1 bed · 1 bath,1236070,Daniel,Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,188,30,155,12/1/2023,1.04,1,91,6,No License,4.69,1,1,1
37,Rental unit in Queens · ★5.0 · 1 bedroom · 1 bed · 1 private bath,309612914,Abeer,Queens,East Elmhurst,40.76366,-73.86133,Private room,99,30,6,2/20/2022,0.18,6,0,0,No License,5,1,1,1
38,Loft in Brooklyn · ★5.0 · 2 bedrooms · 1 bed · 1 shared bath,1728785,Veronika,Brooklyn,Greenpoint,40.73626,-73.95634,Private room,180,30,11,4/19/2023,0.12,1,3,1,No License,5,2,1,1
39,Rental unit in New York · ★4.11 · 1 bedroom · 1 bed · 1 bath,1387370,James,Manhattan,Midtown,40.75282,-73.97315,Entire home/apt,125,365,19,9/8/2015,0.13,1,0,0,No License,4.11,1,1,1
40,Rental unit in New York · ★4.90 · 1 bedroom · 1 bed · Shared half-bath,38284609,Emily,Manhattan,Washington Heights,40.84387,-73.94179,Private room,85,30,10,1/2/2020,0.11,1,0,0,No License,4.9,1,1,1.5
41,Rental unit in Brooklyn · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,10864311,Habib,Brooklyn,Clinton Hill,40.69257,-73.96887,Private room,75,30,9,8/26/2019,0.11,1,0,0,No License,4.33,1,1,1
42,Rental unit in Queens · 1 bedroom · 1 bed · 1 private bath,349342033,Andrea,Queens,Ridgewood,40.70349,-73.90875,Private room,100,30,1,4/24/2021,0.03,1,0,0,No License,No rating,1,1,1
43,Home in Brooklyn · ★4.50 · 1 bedroom · 1 bed · 1 bath,43825074,Masud,Brooklyn,Cypress Hills,40.68693,-73.87378,Private room,38,30,4,9/1/2023,0.12,7,285,2,No License,4.5,1,1,1
44,Home in Queens · ★4.67 · Studio · 3 beds · 1 shared bath,500477805,Rebecca,Queens,Flushing,40.75713694,-73.81348864,Private room,121,30,3,6/12/2023,0.39,3,364,3,No License,4.67,Studio,3,1
45,Rental unit in Staten Island · ★5.0 · 1 bedroom · 3 beds · 1 bath,77290831,Nas,Staten Island,Prince's Bay,40.52339,-74.20517,Entire home/apt,118,30,3,6/25/2022,0.15,1,179,0,No License,5,1,3,1
46,Home in Brooklyn · ★4.67 · 3 bedrooms · 5 beds · 3 baths,128663,Tina,Brooklyn,Kensington,40.63866,-73.9715,Entire home/apt,109,30,3,9/2/2023,0.03,1,0,1,No License,4.67,3,5,3
47,Home in Staten Island · ★4.74 · 1 bedroom · 2 beds · 1 bath,39553567,Bianca,Staten Island,Port Richmond,40.62866,-74.14578,Entire home/apt,75,30,35,10/10/2023,1.43,2,339,14,No License,4.74,1,2,1
48,Loft in New York · ★4.87 · 2 bedrooms · 1 bed · 2 baths,5655889,East Village Loft,Manhattan,East Village,40.72154,-73.98174,Entire home/apt,450,30,54,11/5/2023,0.42,1,355,2,No License,4.87,2,1,2
49,Rental unit in Long Island City · ★3.67 · 1 bedroom · 1 bed · 1 bath,6455628,Teddy,Queens,Astoria,40.76299,-73.92416,Private room,90,30,3,9/11/2013,0.02,1,279,0,No License,3.67,1,1,1
50,Condo in New York · ★4.90 · 2 bedrooms · 1 bed · 1 bath,836168,Henry,Manhattan,Upper West Side,40.79296,-73.96499,Entire home/apt,1000,30,23,1/27/2016,0.18,10,364,0,No License,4.9,2,1,1
51,Home in Queens · ★4.75 · 1 bedroom · 1 bed · 1 private bath,4241953,Celeste,Queens,Flushing,40.75869,-73.80992,Private room,98,30,12,10/20/2021,0.12,3,268,0,No License,4.75,1,1,1
52,Home in Bronx · ★4.87 · 2 bedrooms · 1 bed · 1 bath,77750223,Mercedes,Bronx,Clason Point,40.8159,-73.86486,Private room,114,30,15,10/25/2019,0.2,2,177,0,No License,4.87,2,1,1
53,Rental unit in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1 bath,10366196,Matt,Brooklyn,Williamsburg,40.70824,-73.94681,Entire home/apt,120,30,18,1/1/2021,0.16,1,0,0,No License,4.94,1,1,1
54,Rental unit in Brooklyn · ★4.66 · 2 bedrooms · 2 beds · 1 bath,21183428,Jae,Brooklyn,Bedford-Stuyvesant,40.68401,-73.95626,Entire home/apt,170,30,298,11/25/2023,2.64,2,12,37,No License,4.66,2,2,1
55,Home in Brooklyn · ★4.58 · 1 bedroom · 2 beds · 1 private bath,505586331,Lizeth,Brooklyn,Gravesend,40.6023553,-73.9902915,Private room,100,30,19,10/8/2023,2.22,1,180,19,No License,4.58,1,2,1
56,Rental unit in Queens · 1 bedroom · 1 bath,3711407,Andy,Queens,Long Island City,40.74726,-73.94574,Entire home/apt,168,30,1,10/15/2021,0.04,1,9,0,No License,No rating,1,1,1
57,Rental unit in New York · ★5.0 · Studio · 1 bed · 1 bath,384559808,Best Inns USA,Manhattan,Gramercy,40.7338,-73.98532,Entire home/apt,80,30,8,8/4/2023,0.27,30,17,2,No License,5,Studio,1,1
58,Serviced apartment in Brooklyn · ★4.95 · Studio · 2 beds · 1 private bath,7503643,Vida,Brooklyn,Greenpoint,40.72623,-73.94128,Hotel room,135,30,21,11/15/2023,0.19,18,249,2,No License,4.95,Studio,2,1
59,Rental unit in Brooklyn · ★4.78 · 1 bedroom · 1 bed · 1 bath,29344465,Rondell,Brooklyn,East Flatbush,40.64546,-73.9429,Entire home/apt,100,30,50,12/4/2023,3.75,1,83,44,No License,4.78,1,1,1
60,Rental unit in New York · ★4.75 · 3 bedrooms · 1 bed · 1.5 shared baths,17125263,Mario,Manhattan,East Harlem,40.80303,-73.93888,Private room,49,30,83,3/26/2020,0.74,2,0,0,No License,4.75,3,1,1.5
61,Rental unit in Brooklyn · ★4.83 · 2 bedrooms · 3 beds · 1 bath,132551372,Zhong Xuan,Brooklyn,Kensington,40.63367036,-73.97068362,Entire home/apt,120,30,23,12/6/2023,3.45,1,100,23,No License,4.83,2,3,1
62,Rental unit in New York · 1 bedroom · 1 bed · 1 shared bath,22103146,Kyra,Manhattan,Washington Heights,40.85373,-73.93614,Private room,65,30,1,8/18/2021,0.03,2,0,0,No License,No rating,1,1,1
63,Rental unit in Staten Island · ★4.73 · 2 bedrooms · 4 beds · 1 bath,338412156,Michael,Staten Island,St. George,40.64557,-74.08443,Entire home/apt,160,30,48,9/4/2023,1.49,3,364,10,No License,4.73,2,4,1
64,Condo in Brooklyn · 2 bedrooms · 2 beds · 1 bath,24940913,Nina,Brooklyn,Boerum Hill,40.68574,-73.99055,Entire home/apt,140,30,1,7/28/2015,0.01,1,0,0,No License,No rating,2,2,1
65,Home in Queens · ★4.50 · 6 bedrooms · 8 beds · 4 baths,496749638,B,Queens,South Ozone Park,40.66493199,-73.81553072,Entire home/apt,900,30,14,10/13/2023,1.4,2,365,14,No License,4.5,6,8,4
66,Hotel in New York · ★4.80 · Studio · 1 bed · 1 private bath,383332265,Tyler,Manhattan,Chelsea,40.74766,-73.99227,Private room,999,1,10,9/22/2021,0.31,9,0,0,Exempt,4.8,Studio,1,1
67,Rental unit in brooklyn · ★4.53 · 1 bedroom · 1 bed · 1 bath,2124716,Jules,Brooklyn,Park Slope,40.66923,-73.98134,Private room,99,30,99,9/18/2017,0.97,1,0,0,No License,4.53,1,1,1
68,Rental unit in Brooklyn · 1 bedroom · 3 beds · 1 bath,56410716,Robin,Brooklyn,Crown Heights,40.67820796,-73.95278474,Entire home/apt,95,30,1,6/20/2023,0.15,1,0,1,No License,No rating,1,3,1
69,Rental unit in The Bronx · ★4.15 · 1 bedroom · 1 bed · 1 bath,375297023,Andrew,Bronx,Wakefield,40.88353,-73.85161,Entire home/apt,123,30,27,10/28/2023,1.86,1,365,16,No License,4.15,1,1,1
70,Home in Queens · 3 bedrooms · 6 beds · 1 bath,183178516,Lucky Day Realty Corp.,Queens,Forest Hills,40.73234628,-73.84721232,Entire home/apt,418,30,1,8/7/2023,0.2,7,365,1,No License,No rating,3,6,1
71,Rental unit in Queens · ★4.79 · 2 bedrooms · 4 beds · 1 private bath,328093301,Sebastian,Queens,Springfield Gardens,40.67406,-73.76267,Private room,130,2,43,12/28/2023,2.75,1,357,32,OSE-STRREG-0000942,4.79,2,4,1
72,Rental unit in Bronx · ★5.0 · 1 bedroom · 2 beds · 1 bath,78289814,Tamara,Bronx,North Riverdale,40.90341,-73.90199,Entire home/apt,130,30,46,12/14/2022,0.68,1,150,0,No License,5,1,2,1
73,Rental unit in The Bronx · ★4.45 · 2 bedrooms · 2 beds · 1 bath,274452385,Koffi,Bronx,Belmont,40.85532,-73.88953,Entire home/apt,191,30,40,9/4/2023,2.45,3,365,29,No License,4.45,2,2,1
74,Rental unit in Queens · ★4.58 · Studio · 2 beds · 1 bath,102833442,Vixen,Queens,Corona,40.736906,-73.861374,Entire home/apt,60,30,12,7/16/2023,0.94,1,203,11,No License,4.58,Studio,2,1
75,Rental unit in Bronx · ★5.0 · 2 bedrooms · 3 beds · 1 bath,97328229,Jaime,Bronx,Tremont,40.84208,-73.8911,Entire home/apt,120,30,5,12/20/2023,0.26,6,348,2,No License,5,2,3,1
76,Home in Brooklyn · ★4.67 · 5 bedrooms · 9 beds · 3.5 baths,391579286,Avraham,Brooklyn,Flatbush,40.64640857,-73.95306681,Entire home/apt,460,2,6,1/4/2024,2.17,5,214,6,Exempt,4.67,5,9,3.5
77,Rental unit in Brooklyn · ★4.46 · 1 bedroom · 2 beds · 1 bath,75248463,Jotham,Brooklyn,East Flatbush,40.64509,-73.94641,Entire home/apt,200,30,13,5/14/2022,0.4,6,289,0,No License,4.46,1,2,1
78,Condo in New York · ★4.86 · 1 bedroom · 1 bath,380355687,Eddie,Manhattan,West Village,40.733143,-74.009605,Entire home/apt,200,700,7,11/18/2023,0.25,1,95,5,No License,4.86,1,1,1
79,Rental unit in Queens · ★4.42 · 1 bedroom · 1 bed · 1 shared bath,411757269,Javier,Queens,Elmhurst,40.73279,-73.87233,Private room,70,31,52,6/12/2023,2.32,4,90,8,No License,4.42,1,1,1
80,Rental unit in Queens · ★4.81 · 1 bedroom · 2 beds · 1 bath,73638523,Stephany,Queens,Queens Village,40.72122,-73.75003,Entire home/apt,88,30,63,9/30/2023,0.99,1,297,2,No License,4.81,1,2,1
81,Rental unit in New York · ★3.84 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76301,-73.97743,Entire home/apt,174,1,25,1/16/2023,1.11,44,0,1,Exempt,3.84,1,1,1
82,Rental unit in New York · ★4.27 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76314,-73.97703,Entire home/apt,179,1,26,1/2/2023,0.96,44,0,0,Exempt,4.27,1,1,1
83,Rental unit in New York · ★4.21 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76344,-73.97524,Entire home/apt,172,1,38,1/22/2023,1.41,44,0,1,Exempt,4.21,1,1,1
84,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 shared bath,401096854,Jonatah,Brooklyn,Bedford-Stuyvesant,40.68322,-73.91827,Private room,95,30,4,12/1/2022,0.13,9,0,0,No License,5,1,1,1
85,Condo in Brooklyn · ★4.93 · 1 bedroom · 1 bed · 1 bath,24740457,Max,Brooklyn,Greenpoint,40.73261,-73.95662,Entire home/apt,125,60,43,10/1/2023,1.56,1,35,15,No License,4.93,1,1,1
86,Rental unit in Brooklyn · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,223558519,Tarrus,Brooklyn,Prospect-Lefferts Gardens,40.65823,-73.95602,Private room,50,30,70,6/24/2023,2.38,2,0,3,No License,4.61,1,1,1
87,Townhouse in New York · ★4.77 · 1 bedroom · 2 beds · 1 private bath,5406114,Tiffany,Manhattan,Harlem,40.81204,-73.94234,Private room,179,30,44,10/31/2023,1.73,1,332,19,No License,4.77,1,2,1
88,Townhouse in Queens · 1 bedroom · 1 bed · 1 shared bath,19303369,Hiroki,Queens,Elmhurst,40.72826122,-73.87504158,Private room,30,30,2,9/6/2023,0.38,267,25,2,No License,No rating,1,1,1
89,Rental unit in New York · ★4.40 · 1 bedroom · 1 bed · 1 bath,7245581,Michael,Manhattan,Washington Heights,40.83501,-73.93934,Entire home/apt,84,75,10,8/14/2023,0.12,16,363,1,No License,4.4,1,1,1
90,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,78469790,Gary,Brooklyn,Fort Greene,40.68794,-73.97203,Entire home/apt,120,30,1,7/24/2023,0.18,1,0,1,No License,No rating,1,1,1
91,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,528289924,Steven,Manhattan,Harlem,40.82022269,-73.94580424,Entire home/apt,74,30,1,11/14/2023,0.56,2,51,1,No License,No rating,1,1,1
92,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,306654226,Vicky,Manhattan,Hell's Kitchen,40.75704,-73.99068,Entire home/apt,428,2,3,12/18/2023,3,1,269,3,OSE-STRREG-0000069,5,1,1,1
93,Condo in New York · ★4.75 · 1 bedroom · 1 bed · 1 bath,594816,George,Manhattan,Chelsea,40.73867,-73.99878,Entire home/apt,275,30,4,10/8/2022,0.14,1,364,0,No License,4.75,1,1,1
94,Home in Brooklyn · ★4.53 · 2 bedrooms · 10 beds · 1 bath,411034737,Peter,Brooklyn,East Flatbush,40.6398509,-73.9366136,Entire home/apt,250,30,17,11/4/2023,1.05,11,349,11,No License,4.53,2,10,1
95,Rental unit in New York · 1 bedroom · 1 bed · 1.5 baths,4493085,Babak,Manhattan,Financial District,40.70401,-74.00919,Entire home/apt,325,30,2,7/31/2022,0.07,1,0,0,No License,No rating,1,1,1.5
96,Serviced apartment in New York · 1 bedroom · 2 beds · 1 bath,163251048,Global Luxury,Manhattan,Midtown,40.755878,-73.963348,Entire home/apt,348,30,1,12/14/2021,0.04,5,363,0,No License,No rating,1,2,1
97,Rental unit in Queens · 1 bedroom · 1 bed · 1 shared bath,395699445,Busra,Queens,Sunnyside,40.74431,-73.92326,Private room,56,30,1,8/17/2021,0.03,1,0,0,No License,No rating,1,1,1
98,Rental unit in Queens · 1 bedroom · 1 bed · 1 bath,123320165,Murah,Queens,Astoria,40.76769,-73.91048,Entire home/apt,120,30,1,11/28/2021,0.04,1,0,0,No License,No rating,1,1,1
99,Loft in Brooklyn · 1 bedroom · 1 bed · 1 bath,5053976,Una,Brooklyn,Bedford-Stuyvesant,40.68977,-73.95835,Private room,45,30,2,12/15/2021,0.02,4,310,0,No License,No rating,1,1,1
100,Home in Bronx · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,156583372,Patrick,Bronx,Allerton,40.859352,-73.864983,Private room,45,30,17,9/11/2023,0.8,8,0,4,No License,4.94,1,1,1
101,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,19758179,Telmo,Brooklyn,Bushwick,40.70095,-73.91389,Entire home/apt,89,30,6,11/26/2023,0.47,9,343,5,No License,4.67,1,1,1
102,Rental unit in Queens · ★4.58 · 1 bedroom · 3 beds · 1 bath,62668424,Tain,Queens,Sunnyside,40.7435,-73.915,Entire home/apt,116,30,24,6/6/2022,0.27,3,365,0,No License,4.58,1,3,1
103,Serviced apartment in Brooklyn · ★4.76 · Studio · 2 beds · 1 bath,16437254,Benjamin,Brooklyn,Boerum Hill,40.68812,-73.9854,Entire home/apt,95,30,25,9/28/2023,0.27,17,241,5,No License,4.76,Studio,2,1
104,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,266577166,Jhoan,Brooklyn,Bushwick,40.69679,-73.91672,Private room,40,30,13,9/23/2023,1.29,5,205,13,No License,5,1,1,1
105,Rental unit in New York · ★4.70 · Studio · 1 bed · 1 bath,95303084,David,Manhattan,Upper West Side,40.78823,-73.96957,Entire home/apt,200,30,53,12/7/2023,2.52,9,365,28,No License,4.7,Studio,1,1
106,Rental unit in Brooklyn · ★5.0 · Studio · 2 beds · 1 bath,327541101,Felicita,Brooklyn,Bushwick,40.70541,-73.92392,Entire home/apt,100,30,18,9/30/2023,0.42,1,359,2,No License,5,Studio,2,1
107,Rental unit in Brooklyn · 1 bedroom · 2 beds · 1 bath,32212,Rodney,Brooklyn,Bedford-Stuyvesant,40.68884468,-73.9303994,Entire home/apt,108,30,1,12/1/2023,0.81,2,340,1,No License,No rating,1,2,1
108,Rental unit in Brooklyn · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,165136941,Silvia,Brooklyn,Bedford-Stuyvesant,40.68561,-73.94407,Private room,123,1,51,12/24/2023,1.01,2,148,27,Exempt,4.86,1,1,1
109,Rental unit in New York · ★4.60 · 2 bedrooms · 2 beds · 1 bath,113723310,MyNyHousing,Manhattan,Upper East Side,40.77328,-73.95003,Entire home/apt,206,30,10,10/31/2023,0.24,60,280,3,No License,4.6,2,2,1
110,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1.5 baths,14456700,Simone,Brooklyn,Bedford-Stuyvesant,40.68438,-73.95666,Entire home/apt,225,30,1,6/12/2023,0.14,1,154,1,No License,No rating,1,1,1.5
111,Rental unit in Brooklyn · ★4.96 · 2 bedrooms · 3 beds · 1 bath,3631391,Katy,Brooklyn,Bushwick,40.6882214,-73.9141898,Entire home/apt,103,30,28,11/25/2023,3.84,1,266,28,No License,4.96,2,3,1
112,Home in Brooklyn · 1 bedroom · 1 bed · 1 bath,1637060,Caio,Brooklyn,Crown Heights,40.67764152,-73.941112,Private room,80,30,1,10/16/2023,0.36,3,361,1,No License,No rating,1,1,1
113,Rental unit in Brooklyn · 1 bedroom · 1 bed · 2 shared baths,3223938,Eugene,Brooklyn,Bushwick,40.69005,-73.92008,Private room,35,90,1,5/31/2021,0.03,589,289,0,No License,No rating,1,1,2
114,Rental unit in Brooklyn  · ★4.94 · 2 bedrooms · 2 beds · 1 bath,182152235,Tyrone,Brooklyn,Bedford-Stuyvesant,40.68834,-73.95842,Entire home/apt,350,30,124,12/3/2023,1.87,2,88,15,No License,4.94,2,2,1
115,Earthen home in Brooklyn · 1 bedroom · 2 beds · 1 shared bath,272888515,Mark,Brooklyn,Bedford-Stuyvesant,40.68295,-73.91738,Private room,75,30,1,7/8/2021,0.03,2,178,0,No License,No rating,1,2,1
116,Rental unit in Brooklyn · ★4.43 · 1 bedroom · 2 beds · 1 bath,453519,Julian,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,77,30,248,12/18/2023,1.6,1,360,2,No License,4.43,1,2,1
117,Guest suite in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 bath,114178652,Isabelle,Brooklyn,Bedford-Stuyvesant,40.68278,-73.94362,Entire home/apt,100,30,7,11/9/2023,0.36,4,230,3,No License,5,1,1,1
118,Serviced apartment in New York · Studio · 1 bed · 1 bath,162280872,Urban Furnished,Manhattan,Upper East Side,40.7749268,-73.9481632,Entire home/apt,119,30,2,4/6/2023,0.19,256,364,2,No License,No rating,Studio,1,1
119,Rental unit in Brooklyn · ★4.69 · 3 bedrooms · 3 beds · 1 bath,458389211,Vernette,Brooklyn,Bedford-Stuyvesant,40.67985,-73.90589,Entire home/apt,145,30,26,9/11/2023,1.38,1,355,12,No License,4.69,3,3,1
120,Rental unit in Brooklyn · ★4.64 · Studio · 2 beds · 1 bath,242924411,James And Laureta,Brooklyn,Bedford-Stuyvesant,40.68358,-73.95284,Entire home/apt,107,1,223,12/14/2023,3.86,7,169,49,Exempt,4.64,Studio,2,1
